8/7 12:03:05.665  ---- Startup ----
8/7 12:03:44.056  ---- ClientAvailableHotfixes ----
8/7 12:03:44.056  ---- UserClientHotfixRequest ----
8/7 12:03:44.291  ---- ApplyingHotfixes from Cache ----
8/7 12:03:44.291  ---- ApplyingHotfixes from Server ----
8/7 12:03:44.291  	67514 Table TactKey RecID 373 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6677 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6678 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6679 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6680 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6681 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 6682 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7603 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7604 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7605 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7606 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7607 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7608 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7610 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7611 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7612 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7614 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7616 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7618 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7619 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7620 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7621 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7622 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7623 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7624 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7626 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7627 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7628 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7630 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7632 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7634 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7635 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7636 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7639 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 7641 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 9941 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 15796 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 15797 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 28848 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 28849 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 28851 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationChoice RecID 28852 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 5317 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 9594 VALIDATION_RESULT_DELETE
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108375 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108376 VALIDATION_RESULT_DELETE
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108377 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108380 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108381 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108382 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108383 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108384 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108385 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108386 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108387 VALIDATION_RESULT_DELETE
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108388 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108389 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationElement RecID 108390 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationOption RecID 571 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationOption RecID 572 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationOption RecID 578 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationOption RecID 579 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 640 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 641 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 642 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 643 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 644 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 645 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 646 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 647 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 648 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 649 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 650 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 651 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 652 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 653 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 654 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 655 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 656 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 657 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 658 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 659 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 660 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 661 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 662 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 663 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 664 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 665 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 666 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 667 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 668 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReq RecID 669 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3481 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3482 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3483 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3484 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3485 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3486 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3487 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3488 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3489 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3490 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3491 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3492 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3493 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3494 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3495 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3496 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3497 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3498 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3499 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3500 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3501 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3502 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3503 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3504 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3505 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3506 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3507 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3508 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3509 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3510 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3511 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3512 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3513 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3514 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3515 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3516 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3517 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3518 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3519 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3520 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3521 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3522 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3523 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3524 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3525 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3526 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3527 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3528 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3529 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3530 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3531 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3532 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3533 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3534 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3535 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3536 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3537 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3538 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3539 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3540 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3541 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3542 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3543 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3544 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3545 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3546 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3547 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3548 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3549 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3550 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3551 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3552 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3553 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3554 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3555 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3556 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3557 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3558 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3559 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3560 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3561 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3562 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3563 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3564 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3565 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3566 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3567 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3568 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3569 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3570 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3571 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3572 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3573 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3574 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3575 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3576 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3577 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3578 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3579 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3580 VALIDATION_RESULT_VALID
8/7 12:03:44.291  	68943 Table ChrCustomizationReqChoice RecID 3581 VALIDATION_RESULT_VALID
